snapshot_at,fixture_id,provider_event_id,kickoff_utc,home_team,away_team,competition,market,side,line,odds,bookmaker,provider,hours_to_kickoff,status
2026-08-08T18:07:08+00:00,cefa36d92fe102a6,223082,2026-09-25T18:00:00+00:00,Grenada,Cuba,CONCACAF Nations League,,,,,,bsd,1151.88,no_odds_returned
2026-08-08T18:07:09+00:00,0bb4653065a3f7ab,223077,2026-09-25T18:00:00+00:00,Honduras,Suriname,CONCACAF Nations League,,,,,,bsd,1151.88,no_odds_returned
2026-08-08T18:07:09+00:00,5f65b63abcce6686,223078,2026-09-25T18:00:00+00:00,Jamaica,Guatemala,CONCACAF Nations League,,,,,,bsd,1151.88,no_odds_returned
2026-08-08T18:07:09+00:00,9dc3efb62a4abe83,212594,2026-09-25T18:45:00+00:00,Turkey,France,UEFA Nations League,,,,,,bsd,1152.63,no_odds_returned
2026-08-08T18:07:10+00:00,d83f4b45fc119b5c,212597,2026-09-25T18:45:00+00:00,Sweden,Romania,UEFA Nations League,,,,,,bsd,1152.63,no_odds_returned
2026-08-08T18:07:10+00:00,864d585ffcda81b9,212596,2026-09-25T18:45:00+00:00,Poland,Bosnia and Herzegovina,UEFA Nations League,,,,,,bsd,1152.63,no_odds_returned
2026-08-08T18:07:10+00:00,c853ee3ba615d32f,212595,2026-09-25T18:45:00+00:00,Hungary,Ukraine,UEFA Nations League,,,,,,bsd,1152.63,no_odds_returned
2026-08-08T18:07:11+00:00,7666d25e0f1ef890,212593,2026-09-25T18:45:00+00:00,Italy,Belgium,UEFA Nations League,,,,,,bsd,1152.63,no_odds_returned
2026-08-08T18:07:11+00:00,4f75d9424c1d5c5a,212598,2026-09-25T18:45:00+00:00,Montenegro,Cyprus,UEFA Nations League,,,,,,bsd,1152.63,no_odds_returned
2026-08-08T18:07:12+00:00,b906aa55d16e67b3,212586,2026-09-26T13:00:00+00:00,Slovenia,Scotland,UEFA Nations League,,,,,,bsd,1170.88,no_odds_returned
2026-08-08T18:07:12+00:00,28bc669519a415a8,212602,2026-09-26T16:00:00+00:00,Iceland,Estonia,UEFA Nations League,,,,,,bsd,1173.88,no_odds_returned
2026-08-08T18:07:13+00:00,c28f95d3b3730abe,212599,2026-09-26T16:00:00+00:00,San Marino,Finland,UEFA Nations League,,,,,,bsd,1173.88,no_odds_returned
2026-08-08T18:07:13+00:00,b3418dffcdebfffb,212601,2026-09-26T16:00:00+00:00,Bulgaria,Luxembourg,UEFA Nations League,,,,,,bsd,1173.88,no_odds_returned
2026-08-08T18:07:14+00:00,e55916a97e9f5ad5,212600,2026-09-26T16:00:00+00:00,Faroe Islands,Kazakhstan,UEFA Nations League,,,,,,bsd,1173.88,no_odds_returned
2026-08-08T18:07:14+00:00,279948d09bf923c8,223085,2026-09-26T18:00:00+00:00,Montserrat,British Virgin Islands,CONCACAF Nations League,,,,,,bsd,1175.88,no_odds_returned
2026-08-08T18:07:15+00:00,38bbff4317b6caa4,223086,2026-09-26T18:00:00+00:00,Antigua and Barbuda,Anguilla,CONCACAF Nations League,,,,,,bsd,1175.88,no_odds_returned
2026-08-08T18:07:15+00:00,ca22460f82809fd4,212603,2026-09-26T18:45:00+00:00,Czech Republic,Croatia,UEFA Nations League,,,,,,bsd,1176.63,no_odds_returned
2026-08-08T18:07:15+00:00,7e96457dd32a965a,212604,2026-09-26T18:45:00+00:00,England,Spain,UEFA Nations League,,,,,,bsd,1176.63,no_odds_returned
2026-08-08T18:07:16+00:00,5021a409422df806,212585,2026-09-26T18:45:00+00:00,North Macedonia,Switzerland,UEFA Nations League,,,,,,bsd,1176.63,no_odds_returned
2026-08-08T18:07:16+00:00,cce3660f55e2a507,212606,2026-09-26T18:45:00+00:00,Slovakia,Moldova,UEFA Nations League,,,,,,bsd,1176.63,no_odds_returned
2026-08-08T18:07:17+00:00,9eb5668d44297a70,212605,2026-09-26T18:45:00+00:00,Albania,Belarus,UEFA Nations League,,,,,,bsd,1176.63,no_odds_returned
2026-08-08T18:07:17+00:00,34b9d76018b92a6f,224837,2026-09-26T23:00:00+00:00,Canada,Chile,Friendly,,,,,,bsd,1180.88,no_odds_returned
2026-08-08T18:07:17+00:00,14ea2b92b80c34f1,212609,2026-09-27T13:00:00+00:00,Lithuania,Azerbaijan,UEFA Nations League,,,,,,bsd,1194.88,no_odds_returned
2026-08-08T18:07:18+00:00,8779338a60657222,212612,2026-09-27T16:00:00+00:00,Austria,Kosovo,UEFA Nations League,,,,,,bsd,1197.88,no_odds_returned
2026-08-08T18:07:18+00:00,74c035275ce8ff82,212610,2026-09-27T16:00:00+00:00,Serbia,Netherlands,UEFA Nations League,,,,,,bsd,1197.88,no_odds_returned
2026-08-08T18:07:19+00:00,69d814b018ecffb4,212611,2026-09-27T16:00:00+00:00,Denmark,Wales,UEFA Nations League,,,,,,bsd,1197.88,no_odds_returned
2026-08-08T18:07:19+00:00,818f05e02360b7cf,212613,2026-09-27T16:00:00+00:00,Gibraltar,Andorra,UEFA Nations League,,,,,,bsd,1197.88,no_odds_returned
2026-08-08T18:07:19+00:00,124d79f30d67ec6e,223089,2026-09-27T18:00:00+00:00,Haiti,Costa Rica,CONCACAF Nations League,,,,,,bsd,1199.88,no_odds_returned
2026-08-08T18:07:20+00:00,6fb185a97c390aa5,223090,2026-09-27T18:00:00+00:00,Trinidad and Tobago,Dominican Republic,CONCACAF Nations League,,,,,,bsd,1199.88,no_odds_returned
2026-08-08T18:07:20+00:00,77609833a2e60e47,223091,2026-09-27T18:00:00+00:00,Dominica,Puerto Rico,CONCACAF Nations League,,,,,,bsd,1199.88,no_odds_returned
2026-08-08T18:07:21+00:00,fd0ab4d9a9f23566,223088,2026-09-27T18:00:00+00:00,Curaçao,Nicaragua,CONCACAF Nations League,,,,,,bsd,1199.88,no_odds_returned
2026-08-08T18:07:21+00:00,776947df75f32fa9,223092,2026-09-27T18:00:00+00:00,Guyana,Cayman Islands,CONCACAF Nations League,,,,,,bsd,1199.88,no_odds_returned
2026-08-08T18:07:25+00:00,9a42f823e50d89b4,212614,2026-09-27T18:45:00+00:00,Germany,Greece,UEFA Nations League,,,,,,bsd,1200.63,no_odds_returned
2026-08-08T18:07:25+00:00,45479e74e935b342,212616,2026-09-27T18:45:00+00:00,Israel,Republic of Ireland,UEFA Nations League,,,,,,bsd,1200.63,no_odds_returned
2026-08-08T18:07:26+00:00,b95597f7a2a85c62,212615,2026-09-27T18:45:00+00:00,Norway,Portugal,UEFA Nations League,,,,,,bsd,1200.63,no_odds_returned
2026-08-08T18:07:26+00:00,3421ff0d47754e9b,212617,2026-09-28T16:00:00+00:00,Georgia,Ukraine,UEFA Nations League,,,,,,bsd,1221.88,no_odds_returned
2026-08-08T18:07:27+00:00,d2df695d96566e2a,212624,2026-09-28T16:00:00+00:00,Latvia,Cyprus,UEFA Nations League,,,,,,bsd,1221.88,no_odds_returned
2026-08-08T18:07:27+00:00,c9b61eaef7f25810,212618,2026-09-28T16:00:00+00:00,Armenia,Montenegro,UEFA Nations League,,,,,,bsd,1221.88,no_odds_returned
2026-08-08T18:07:28+00:00,83f3581a0f1b6abd,223100,2026-09-28T18:00:00+00:00,Belize,Saint Vincent and the Grenadines,CONCACAF Nations League,,,,,,bsd,1223.88,no_odds_returned
2026-08-08T18:07:29+00:00,9c347c0b33aa3b2f,223099,2026-09-28T18:00:00+00:00,Saint Kitts and Nevis,Grenada,CONCACAF Nations League,,,,,,bsd,1223.88,no_odds_returned
2026-08-08T18:07:29+00:00,064599c6e9468d91,223097,2026-09-28T18:00:00+00:00,Saint Lucia,Bermuda,CONCACAF Nations League,,,,,,bsd,1223.88,no_odds_returned
2026-08-08T18:07:29+00:00,86414f95d77171fc,223093,2026-09-28T18:00:00+00:00,Guatemala,El Salvador,CONCACAF Nations League,,,,,,bsd,1223.88,no_odds_returned
2026-08-08T18:07:30+00:00,41fe15c2e3d23e60,223094,2026-09-28T18:00:00+00:00,Jamaica,Honduras,CONCACAF Nations League,,,,,,bsd,1223.88,no_odds_returned
2026-08-08T18:07:30+00:00,d13d5fdd4d1e3086,212621,2026-09-28T18:45:00+00:00,Northern Ireland,Hungary,UEFA Nations League,,,,,,bsd,1224.62,no_odds_returned
2026-08-08T18:07:31+00:00,37e41ccda4a05aa6,212622,2026-09-28T18:45:00+00:00,Romania,Bosnia and Herzegovina,UEFA Nations League,,,,,,bsd,1224.62,no_odds_returned
2026-08-08T18:07:31+00:00,d14597db7e1a84e1,212619,2026-09-28T18:45:00+00:00,Belgium,France,UEFA Nations League,,,,,,bsd,1224.62,no_odds_returned
2026-08-08T18:07:31+00:00,571d86a1dfa47ab8,212623,2026-09-28T18:45:00+00:00,Sweden,Poland,UEFA Nations League,,,,,,bsd,1224.62,no_odds_returned
2026-08-08T18:07:32+00:00,e4189a009bae5cf9,212620,2026-09-28T18:45:00+00:00,Turkey,Italy,UEFA Nations League,,,,,,bsd,1224.62,no_odds_returned
2026-08-08T18:07:32+00:00,661079a86d436ed3,212627,2026-09-29T16:00:00+00:00,Finland,Belarus,UEFA Nations League,,,,,,bsd,1245.87,no_odds_returned
2026-08-08T18:07:33+00:00,6c63313ea28c11f6,212629,2026-09-29T16:00:00+00:00,Moldova,Faroe Islands,UEFA Nations League,,,,,,bsd,1245.87,no_odds_returned
2026-08-08T18:07:33+00:00,87a0f9e481a5be06,223103,2026-09-29T18:00:00+00:00,Anguilla,Aruba,CONCACAF Nations League,,,,,,bsd,1247.87,no_odds_returned
2026-08-08T18:07:34+00:00,cf874e756644cbdf,223102,2026-09-29T18:00:00+00:00,British Virgin Islands,Turks and Caicos Islands,CONCACAF Nations League,,,,,,bsd,1247.87,no_odds_returned
2026-08-08T18:07:34+00:00,c22be4b54bbfd99a,223104,2026-09-29T18:00:00+00:00,United States Virgin Islands,Bahamas,CONCACAF Nations League,,,,,,bsd,1247.87,no_odds_returned
2026-08-08T18:07:34+00:00,0f877cb0a0a99e5f,212607,2026-09-29T18:45:00+00:00,Scotland,Switzerland,UEFA Nations League,,,,,,bsd,1248.62,no_odds_returned
2026-08-08T18:07:35+00:00,a1e3a0f3d2364f7d,212630,2026-09-29T18:45:00+00:00,Slovakia,Kazakhstan,UEFA Nations League,,,,,,bsd,1248.62,no_odds_returned
2026-08-08T18:07:35+00:00,ad99136e9a6b3319,212626,2026-09-29T18:45:00+00:00,Spain,Croatia,UEFA Nations League,,,,,,bsd,1248.62,no_odds_returned
2026-08-08T18:07:36+00:00,0bef6a9b4583f718,212632,2026-09-29T18:45:00+00:00,Luxembourg,Iceland,UEFA Nations League,,,,,,bsd,1248.62,no_odds_returned
2026-08-08T18:07:36+00:00,4d79684318fd2b80,212625,2026-09-29T18:45:00+00:00,Czech Republic,England,UEFA Nations League,,,,,,bsd,1248.62,no_odds_returned
2026-08-08T18:07:37+00:00,7c4f119df7c59a69,212628,2026-09-29T18:45:00+00:00,San Marino,Albania,UEFA Nations League,,,,,,bsd,1248.62,no_odds_returned
2026-08-08T18:07:37+00:00,6da16ab8838e5bf2,212631,2026-09-29T18:45:00+00:00,Bulgaria,Estonia,UEFA Nations League,,,,,,bsd,1248.62,no_odds_returned
