team,city,country,matches,share,rank,latitude,longitude,elevation_m,timezone
Trinidad and Tobago,San Fernando,Trinidad and Tobago,1,0.0263,5,10.27969,-61.46835,28.0,America/Port_of_Spain
Tunisia,Radès,Tunisia,37,0.8409,1,36.76946,10.27468,5.0,Africa/Tunis
Tunisia,Monastir,Tunisia,3,0.0682,2,35.77799,10.82617,20.0,Africa/Tunis
Tunisia,Tunis,Tunisia,3,0.0682,3,36.81897,10.16579,23.0,Africa/Tunis
Tunisia,Gabès,Tunisia,1,0.0227,4,33.88146,10.0982,9.0,Africa/Tunis
Turkey,Istanbul,Turkey,17,0.3333,1,,,,
Turkey,Antalya,Turkey,8,0.1569,2,,,,
Turkey,Konya,Turkey,6,0.1176,3,,,,
Turkey,Eskişehir,Turkey,5,0.098,4,,,,
Turkey,Alanya,Turkey,2,0.0392,5,,,,
Turkey,Bursa,Turkey,2,0.0392,6,,,,
Turkey,İzmir,Turkey,2,0.0392,7,,,,
Turkey,Diyarbakir,Turkey,1,0.0196,8,,,,
Turkey,Gaziantep,Turkey,1,0.0196,9,,,,
Turkey,Kayseri,Turkey,1,0.0196,10,,,,
Turkey,Rize,Turkey,1,0.0196,11,,,,
Turkey,Samsun,Turkey,1,0.0196,12,,,,
Turkey,Sivas,Turkey,1,0.0196,13,,,,
Turkey,Tekkeköy,Turkey,1,0.0196,14,,,,
Turkey,Trabzon,Turkey,1,0.0196,15,,,,
Turkey,İzmit,Turkey,1,0.0196,16,,,,
Turkmenistan,Ashgabat,Turkmenistan,8,0.6667,1,37.95,58.38333,219.0,Asia/Ashgabat
Turkmenistan,Arkadag,Turkmenistan,2,0.1667,2,38.07127,58.06562,229.0,Asia/Ashgabat
Turkmenistan,Balkanabat,Turkmenistan,1,0.0833,3,39.51075,54.36713,11.0,Asia/Ashgabat
Turkmenistan,Daşoguz,Turkmenistan,1,0.0833,4,41.83625,59.96661,87.0,Asia/Ashgabat
Turks and Caicos Islands,Providenciales,Turks and Caicos Islands,13,1.0,1,,,,
Uganda,Kampala,Uganda,13,0.5,1,0.31628,32.58219,1223.0,Africa/Kampala
Uganda,Kira,Uganda,9,0.3462,2,0.4,32.63333,1168.0,Africa/Kampala
Uganda,Entebbe,Uganda,4,0.1538,3,0.05621,32.47949,1151.0,Africa/Kampala
Ukraine,Kyiv,Ukraine,8,0.32,1,50.45466,30.5238,179.0,Europe/Kyiv
Ukraine,Kharkiv,Ukraine,6,0.24,2,49.98177,36.25475,94.0,Europe/Kyiv
Ukraine,Lviv,Ukraine,6,0.24,3,49.83826,24.02324,284.0,Europe/Kyiv
Ukraine,Dnipro,Ukraine,2,0.08,4,48.46664,35.04066,120.0,Europe/Kyiv
Ukraine,Odessa,Ukraine,2,0.08,5,46.48572,30.74383,50.0,Europe/Kyiv
Ukraine,Zaporizhia,Ukraine,1,0.04,6,47.86722,35.31639,114.0,Europe/Kyiv
United Arab Emirates,Dubai,United Arab Emirates,26,0.4815,1,25.07725,55.30927,24.0,Asia/Dubai
United Arab Emirates,Abu Dhabi,United Arab Emirates,20,0.3704,2,24.45118,54.39696,6.0,Asia/Dubai
United Arab Emirates,Al Ain,United Arab Emirates,8,0.1481,3,24.19167,55.76056,275.0,Asia/Dubai
