fixture_id,temp_c,precip_mm,wind_kmh
809824921,11.2,0.0,43.5
2783872838,9.8,0.0,34.2
1621536125,7.2,0.0,16.6
2830857995,8.3,0.0,17.3
1229334515,6.6,0.0,18.7
2242063911,8.3,0.0,17.3
1965138728,6.5,0.0,16.8
1329282958,8.4,0.0,27.7
1579439235,9.1,0.0,23.3
3457956653,9.5,0.0,25.5
1651809298,8.9,0.0,12.3
3398540260,6.5,0.0,10.2
4261624194,9.0,0.2,22.0
3598532377,10.3,0.0,22.4
910976196,8.3,0.0,23.9
933320275,9.6,0.0,27.8
436803667,10.0,0.0,9.3
590831086,11.3,0.0,25.2
3545618641,12.9,0.0,32.0
525121695,12.0,0.8,34.1
1163118029,12.9,0.0,32.0
2702949738,11.5,0.0,32.4
2073728242,8.8,0.0,7.0
2265964674,10.8,0.4,10.9
3841453689,9.1,0.0,14.8
1334369023,10.1,0.1,10.1
3938873367,10.8,0.4,10.9
2496768321,9.3,0.0,10.1
3945500128,9.1,0.1,9.3
3545620283,10.3,0.3,19.5
1082617890,8.6,0.0,17.8
1708185405,9.1,0.0,16.0
4172738479,12.9,0.0,20.8
1163437002,11.9,0.0,20.1
2018427392,12.9,0.0,20.8
907776456,11.7,0.0,18.7
1957045220,13.0,0.0,20.6
174721011,12.9,0.0,20.8
3718256933,14.0,0.0,24.6
1063069884,12.3,0.0,22.7
2626521178,13.5,0.0,20.9
1350435024,9.7,0.0,28.2
2457058683,12.7,0.0,18.9
1685624731,12.7,0.0,23.3
1517756345,6.9,0.0,9.7
2992290634,6.3,0.6,19.8
1714400461,8.0,0.2,6.5
1449574475,8.0,0.1,8.3
1849401710,8.3,0.0,11.6
3236357512,8.0,0.2,6.5
1211001725,7.6,0.0,21.7
1397436515,8.6,0.0,38.5
3132233962,8.0,0.1,20.3
2939342003,4.9,0.5,14.5
949395022,8.0,0.1,20.3
1706664340,5.9,1.7,13.7
440336954,6.8,0.1,20.6
758247059,8.0,0.1,20.3
3331103625,5.9,0.8,20.6
754084151,6.7,0.0,9.1
3398663512,7.9,0.1,6.7
5180450,9.1,0.1,22.2
2714864057,10.2,0.0,24.5
793584902,9.7,0.1,24.5
2444385129,12.5,0.0,24.5
2981245573,11.6,0.1,23.3
3339940945,12.5,0.0,24.5
557121269,7.6,0.5,15.8
2855341991,9.1,0.7,4.4
2782799114,8.9,1.1,9.2
3198407411,8.8,0.4,22.9
1472741694,10.4,0.1,16.7
3711615502,12.1,0.0,32.1
2925038126,9.6,0.0,19.9
593774053,11.1,0.0,13.8
3389300578,13.3,0.0,14.8
2665904250,14.4,0.1,15.4
1997090360,13.1,0.0,15.4
1955202599,11.2,0.0,16.1
1518260593,13.9,0.0,10.3
1668819504,12.8,0.0,13.1
1076493182,12.5,0.0,14.8
621204965,13.9,0.0,10.3
2014810805,12.3,0.0,14.1
1192488954,13.9,0.0,10.3
1386398855,12.7,0.0,26.5
4289209104,12.9,0.0,29.2
2405736236,10.4,0.2,4.3
1637748714,13.0,0.0,15.1
2310729833,10.7,0.3,21.2
1633250862,10.5,0.0,14.2
3268060136,14.2,0.0,20.6
3525533861,14.0,0.0,34.8
2772894312,14.0,0.0,34.8
1269897894,10.8,0.6,30.4
1616623444,12.5,0.0,10.6
1768939625,14.4,0.2,23.6
2939812251,17.8,0.0,36.1
1810737407,15.9,0.0,39.6
1203302010,16.6,0.0,41.1
2640982834,17.8,0.0,36.1
909756971,16.5,0.0,34.0
3798487472,15.7,0.0,39.5
4102816088,15.5,0.0,29.5
3523852987,14.0,0.8,31.9
2122534499,14.2,0.1,34.5
3818061058,15.3,0.0,38.9
1340975834,14.0,0.0,34.0
2120203499,18.7,0.0,23.4
37846613,12.4,0.1,30.5
3215147772,14.2,0.4,27.1
3086648702,15.6,0.0,33.6
164561317,13.3,0.0,21.5
1464782935,10.8,0.0,21.0
2110888294,13.4,0.0,17.7
3126334524,13.4,0.0,17.7
